Epoch [121/150], Train Loss: 0.1347, Val Loss: 1.0787, Val Accuracy: 0.8569, Mean IOU: 0.7900, Precision: 0.8774, Recall: 0.8569, F1 Score: 0.8530
Epoch [122/150], Train Loss: 0.1361, Val Loss: 1.0555, Val Accuracy: 0.8577, Mean IOU: 0.7906, Precision: 0.8771, Recall: 0.8577, F1 Score: 0.8534
Epoch [123/150], Train Loss: 0.1359, Val Loss: 1.0774, Val Accuracy: 0.8569, Mean IOU: 0.7886, Precision: 0.8762, Recall: 0.8569, F1 Score: 0.8516
Epoch [124/150], Train Loss: 0.1354, Val Loss: 1.0770, Val Accuracy: 0.8567, Mean IOU: 0.7893, Precision: 0.8771, Recall: 0.8567, F1 Score: 0.8525
Epoch [125/150], Train Loss: 0.1355, Val Loss: 1.0862, Val Accuracy: 0.8555, Mean IOU: 0.7878, Precision: 0.8770, Recall: 0.8555, F1 Score: 0.8514
Epoch [126/150], Train Loss: 0.1353, Val Loss: 1.0871, Val Accuracy: 0.8569, Mean IOU: 0.7893, Precision: 0.8771, Recall: 0.8569, F1 Score: 0.8524
Epoch [127/150], Train Loss: 0.1348, Val Loss: 1.0585, Val Accuracy: 0.8560, Mean IOU: 0.7893, Precision: 0.8776, Recall: 0.8560, F1 Score: 0.8528
Epoch [128/150], Train Loss: 0.1346, Val Loss: 1.0671, Val Accuracy: 0.8570, Mean IOU: 0.7895, Precision: 0.8769, Recall: 0.8570, F1 Score: 0.8527
Epoch [129/150], Train Loss: 0.1349, Val Loss: 1.0914, Val Accuracy: 0.8556, Mean IOU: 0.7883, Precision: 0.8771, Recall: 0.8556, F1 Score: 0.8519
Epoch [130/150], Train Loss: 0.1387, Val Loss: 0.9023, Val Accuracy: 0.8471, Mean IOU: 0.7782, Precision: 0.8715, Recall: 0.8471, F1 Score: 0.8435
Epoch [131/150], Train Loss: 0.1478, Val Loss: 1.0037, Val Accuracy: 0.8516, Mean IOU: 0.7832, Precision: 0.8748, Recall: 0.8516, F1 Score: 0.8485
Epoch [132/150], Train Loss: 0.1341, Val Loss: 1.0472, Val Accuracy: 0.8570, Mean IOU: 0.7893, Precision: 0.8767, Recall: 0.8570, F1 Score: 0.8523
Epoch [133/150], Train Loss: 0.1321, Val Loss: 1.0686, Val Accuracy: 0.8562, Mean IOU: 0.7879, Precision: 0.8765, Recall: 0.8562, F1 Score: 0.8513
Epoch [134/150], Train Loss: 0.1339, Val Loss: 1.0388, Val Accuracy: 0.8556, Mean IOU: 0.7881, Precision: 0.8764, Recall: 0.8556, F1 Score: 0.8518
Epoch [135/150], Train Loss: 0.1342, Val Loss: 1.0615, Val Accuracy: 0.8574, Mean IOU: 0.7904, Precision: 0.8777, Recall: 0.8574, F1 Score: 0.8534
Epoch [136/150], Train Loss: 0.1335, Val Loss: 1.0904, Val Accuracy: 0.8575, Mean IOU: 0.7897, Precision: 0.8766, Recall: 0.8575, F1 Score: 0.8526
Epoch [137/150], Train Loss: 0.1333, Val Loss: 1.1023, Val Accuracy: 0.8568, Mean IOU: 0.7895, Precision: 0.8773, Recall: 0.8568, F1 Score: 0.8527
Epoch [138/150], Train Loss: 0.1343, Val Loss: 1.0674, Val Accuracy: 0.8577, Mean IOU: 0.7906, Precision: 0.8772, Recall: 0.8577, F1 Score: 0.8535
Epoch [139/150], Train Loss: 0.1325, Val Loss: 1.0931, Val Accuracy: 0.8564, Mean IOU: 0.7891, Precision: 0.8772, Recall: 0.8564, F1 Score: 0.8525
Epoch [140/150], Train Loss: 0.1325, Val Loss: 1.0969, Val Accuracy: 0.8571, Mean IOU: 0.7897, Precision: 0.8767, Recall: 0.8571, F1 Score: 0.8527
Epoch [141/150], Train Loss: 0.1354, Val Loss: 1.2441, Val Accuracy: 0.8523, Mean IOU: 0.7818, Precision: 0.8711, Recall: 0.8523, F1 Score: 0.8460
Epoch [142/150], Train Loss: 0.1340, Val Loss: 1.0789, Val Accuracy: 0.8571, Mean IOU: 0.7897, Precision: 0.8770, Recall: 0.8571, F1 Score: 0.8528
Epoch [143/150], Train Loss: 0.1315, Val Loss: 1.1279, Val Accuracy: 0.8568, Mean IOU: 0.7889, Precision: 0.8759, Recall: 0.8568, F1 Score: 0.8520
Epoch [144/150], Train Loss: 0.1340, Val Loss: 1.0953, Val Accuracy: 0.8572, Mean IOU: 0.7897, Precision: 0.8767, Recall: 0.8572, F1 Score: 0.8528
Epoch [145/150], Train Loss: 0.1341, Val Loss: 1.0859, Val Accuracy: 0.8569, Mean IOU: 0.7898, Precision: 0.8772, Recall: 0.8569, F1 Score: 0.8528
Epoch [146/150], Train Loss: 0.1318, Val Loss: 1.0929, Val Accuracy: 0.8568, Mean IOU: 0.7895, Precision: 0.8768, Recall: 0.8568, F1 Score: 0.8526
Epoch [147/150], Train Loss: 0.1313, Val Loss: 1.0979, Val Accuracy: 0.8558, Mean IOU: 0.7891, Precision: 0.8773, Recall: 0.8558, F1 Score: 0.8525
Epoch [148/150], Train Loss: 0.1320, Val Loss: 1.1099, Val Accuracy: 0.8565, Mean IOU: 0.7890, Precision: 0.8766, Recall: 0.8565, F1 Score: 0.8523
Epoch [149/150], Train Loss: 0.1317, Val Loss: 1.1090, Val Accuracy: 0.8518, Mean IOU: 0.7843, Precision: 0.8748, Recall: 0.8518, F1 Score: 0.8486
Epoch [150/150], Train Loss: 0.1325, Val Loss: 1.0962, Val Accuracy: 0.8567, Mean IOU: 0.7897, Precision: 0.8768, Recall: 0.8567, F1 Score: 0.8528
